smiles,HOMO
O=C(OCc1ccccc1)c1ccc(O)cc1,-7.928585618
CCOC(=O)C(Cc1ccc(O)cc1)NC(C)=O,-7.39741909
Oc1cc(Br)cc(Br)c1,-8.226278334
Oc1ccc(Br)cc1Br,-7.86953688
O=C1NC(=O)C(c2ccccc2)(c2ccc(O)cc2)N1,-7.532931862
COc1cc(C=NNC(=O)c2ccncc2)ccc1O,-7.0613583
OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,-7.38517396
COc1cc(C=NNC(=O)c2cc(C)[nH]n2)ccc1O,-6.76067233
COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,-7.110066706
COc1cc(CC(C)C(C)Cc2ccc3c(c2)OCO3)ccc1O,-6.969655882
COc1cc(CC2C(=O)OCC2Cc2ccc(OC)c(OC)c2)ccc1O,-7.103263856
CCOCc1ccc(O)c(OC)c1,-7.150883806
OC(CCCCC1SCC2N=C(O)NC21)=NCCc1ccc(O)cc1,-7.426807402
CNCC(O)c1cccc(O)c1,-7.431705454
COC(=O)c1cc(C(C)(C)C)ccc1O,-7.490482078
COC(=O)C1C(OC(=O)c2ccccc2O)CC2CCC1N2C,-7.65184568
COC(=O)C1C(OC(=O)c2cccc(O)c2)CC2CCC1N2C,-7.81239294
O=C(O)Cc1ccccc1Nc1c(Cl)cc(O)cc1Cl,-6.972104908
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,-6.683664068
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,-7.24367468
COc1cc(CN=O)ccc1O,-7.346261658
CC(=O)c1ccccc1O,-7.784637312
CC(=O)c1ccc(O)cc1,-7.938653836
OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,-7.274695676
O=C(Oc1ccccc1C(=O)O)c1ccccc1O,-7.684771474
Oc1ccc(C2CCNCC2)cc1F,-7.53483666
O=C(O)c1ccccc1O,-7.871713792
C#CCOc1ccc(C(=O)c2ccc(O)cc2)cc1,-7.864366714
C=C(C)C(=O)Nc1ccc(O)cc1,-7.036595926
C#CCOc1ccc(C(=O)c2cccc(O)c2)cc1,-7.868992652
CCOC(=O)CN=C(O)c1cc(Br)ccc1O,-7.3198666
OC1=Nc2ccccc2N=C(c2cc(Br)ccc2O)C1,-7.354697192
COc1ccc(C=C2C(=O)c3ccccc3C2=O)cc1O,-7.331023274
OC(CSc1nc2ccccc2s1)=NN=Cc1ccccc1O,-7.518237706
CCOc1cc(C(O)C(Cl)(Cl)Cl)ccc1O,-7.375105742
CC(=NN=C(O)COc1cccc(C)c1)c1ccccc1O,-7.49265899
